tweets,y_true,y_pred,y_pred_2
i hate when my girlfriend sleeps before mei get so bored,weary_face,person_facepalming,weary_face
aye moe go get that chain back slim,person_facepalming,rolling_on_the_floor_laughing,person_facepalming
i need some little babes in my lifetheres something about their innocence and genuine happiness that touches my heart,weary_face,weary_face,person_facepalming
i just dont want to get out of bed,weary_face,person_facepalming,weary_face
yall im dumb i dont have my id with me,person_facepalming,person_facepalming,rolling_on_the_floor_laughing
thanks orlyur not helping guys nails dont breathe,person_facepalming,folded_hands,person_facepalming
nigguhs got hit by a nascar pit crew,rolling_on_the_floor_laughing,rolling_on_the_floor_laughing,person_facepalming
2017 trio will be carried into 2018 fsure,weary_face,rolling_on_the_floor_laughing,folded_hands
i just want some clearer skin amp a fatter ass,weary_face,folded_hands,weary_face
crazy that logic got his own netflix doc we helped with it some,folded_hands,folded_hands,person_facepalming
broke ass bitches stay speaking on me,person_facepalming,rolling_on_the_floor_laughing,person_facepalming
if you kill me ima beat yo ass how sway,person_facepalming,rolling_on_the_floor_laughing,person_facepalming
just when i thought i found a reason to stay,thinking_face,person_facepalming,rolling_on_the_floor_laughing
rt this and in 5 minutes good luck will come,folded_hands,folded_hands,weary_face
i lost some homies thats still alive,folded_hands,folded_hands,person_facepalming
he came out with his family and thanked his fans,folded_hands,folded_hands,rolling_on_the_floor_laughing
it blows me how people do stuff to you but somehow their the victim,thinking_face,thinking_face,person_facepalming
no ban on assault weapons but proposed fines for saggy pants i wonder why,thinking_face,thinking_face,rolling_on_the_floor_laughing
we are praying for her family,folded_hands,folded_hands,person_facepalming
it is a bottomless pit tonight if anyone wants to know three plates of nachos later and all i want is ice cream,person_facepalming,thinking_face,weary_face
the love that i have for the loml is unexplainable,weary_face,weary_face,rolling_on_the_floor_laughing
drake a real one,folded_hands,rolling_on_the_floor_laughing,person_facepalming
is real himself said its fate,rolling_on_the_floor_laughing,rolling_on_the_floor_laughing,folded_hands
so happy ron thanks love,weary_face,folded_hands,rolling_on_the_floor_laughing
lmao kaleece god mom a hot mess,rolling_on_the_floor_laughing,rolling_on_the_floor_laughing,person_facepalming
keep it close no more bbands that will be a collector one day,rolling_on_the_floor_laughing,folded_hands,rolling_on_the_floor_laughing
if god can do it for me he can do it for you too trust that things will turn around for your good,folded_hands,thinking_face,folded_hands
update the sun came back out prolly gon finesse ankles today,folded_hands,person_facepalming,rolling_on_the_floor_laughing
but guys my glow up was massive it was hectic shame,weary_face,person_facepalming,rolling_on_the_floor_laughing
scout mark gorscak dedicates the lb portion of the 40yard dash to,folded_hands,folded_hands,weary_face
please help man needs his boat,folded_hands,folded_hands,weary_face
lol ive done this before too and they called it nature in a glass kept asking if i went outside amp scooped up dirt,person_facepalming,rolling_on_the_floor_laughing,person_facepalming
to copy this tune press 1,weary_face,rolling_on_the_floor_laughing,folded_hands
why is it the loved n even but dont feel,thinking_face,person_facepalming,rolling_on_the_floor_laughing
people on the bus smell so bad,weary_face,rolling_on_the_floor_laughing,person_facepalming
fucken hate cool kids in college the bus rides are longer than normal each one speaks kak after another,weary_face,person_facepalming,weary_face
im so mad at u u just let me exist not knowing u shot vids to both may favorite joints,thinking_face,rolling_on_the_floor_laughing,thinking_face
for how many long dj bongz,rolling_on_the_floor_laughing,rolling_on_the_floor_laughing,person_facepalming
ugh summer 16 was such a fucking vibe ya fuckin ruin everything,weary_face,weary_face,person_facepalming
jackson since our debut until now i am always looking at it,folded_hands,folded_hands,rolling_on_the_floor_laughing
please help man needs his boat,folded_hands,folded_hands,weary_face
herb being pressed for his son is the cutest shit ever,weary_face,rolling_on_the_floor_laughing,person_facepalming
idc how hard life get i aint smoking no cigarette,rolling_on_the_floor_laughing,rolling_on_the_floor_laughing,person_facepalming
you not allowed to do a height chart with yo weave that stiff,person_facepalming,rolling_on_the_floor_laughing,thinking_face
oh being single is a must what if the candidate gets married after you confirm the candidacy,thinking_face,thinking_face,rolling_on_the_floor_laughing
ive moved on from heavy towels to dumbbells lol,rolling_on_the_floor_laughing,person_facepalming,rolling_on_the_floor_laughing
rt for a blessing,folded_hands,rolling_on_the_floor_laughing,folded_hands
me realizing im actually fat lmao the smack in the end,weary_face,weary_face,person_facepalming
i aint had friday class in so long,weary_face,person_facepalming,rolling_on_the_floor_laughing
i honestly believe nobody can handle me,thinking_face,rolling_on_the_floor_laughing,person_facepalming
did yall niggas receive w2s from the studio yet,thinking_face,person_facepalming,thinking_face
pretty sure kevin garnett tapes his hoodie to the back of his head,thinking_face,thinking_face,rolling_on_the_floor_laughing
aint nobody gon stop her,rolling_on_the_floor_laughing,rolling_on_the_floor_laughing,person_facepalming
thank you germany,folded_hands,rolling_on_the_floor_laughing,folded_hands
bitchhh i wanna be laid up rn,weary_face,weary_face,person_facepalming
seriously hate going down my tl and seeing the same people con una depre like dimeee,person_facepalming,person_facepalming,weary_face
women im sorry for the shit yall go through it truly does sound terrible,person_facepalming,person_facepalming,folded_hands
so what do you all think best new artist 2019 or 2020,thinking_face,thinking_face,rolling_on_the_floor_laughing
